Chr;Contig_name;Contig_length;Contig_start;Contig_end;ctg_start_sum;ctg_end_sum;Chromosome;Strand;Chromosome_9930;Start_9930;End_9930;Strand_9930;Chromosome_Gy14;Start_Gy14;End_Gy14;Strand_Gy14;Chromosome_blast_9930db;Chromosome_blast_gy14db;Chromosome_according_to_DARTseq_analysis;STC_sequence_id;Chromosome_according_to_FISH_analysis
1;ctg7623;11300;1;11300;1;11300;;;Chr1_9930;1;11300;+;ctg7623;1;11300;+;;;;;
1;ctg283;19048;1;19048;11301;30349;;;Chr1_9930;11401;30448;+;ctg283;1;19048;+;;;;;
1;ctg1740;830280;1;830280;30350;860630;Chr1;-;Chr1_9930;30549;860828;-;Chr1_Gy14;24428;854707;-;Chr1;Chr1;Chr1;;
1;ctg2421;33069;1;33069;860631;893700;;;Chr1_9930;860929;893997;+;Chr1_Gy14;12561968;12595036;-;;;;;
1;ctg4419;12949;1;12949;893701;906650;;;Chr1_9930;894098;907046;-;ctg4419;1;12949;+;;;;;
1;ctg712;15691;1;15691;906651;922342;;;Chr1_9930;907147;922837;+;Chr7_Gy14;12533921;12549611;+;;;;;
1;ctg1869;8283342;1;8283342;922343;9205685;Chr1;+;Chr1_9930;922938;9206279;+;Chr1_Gy14;863103;9146444;+;Chr1;Chr1;Chr1;;
1;ctg1453;290314;1;290314;9205686;9496000;;;Chr1_9930;9206380;9496693;-;Chr1_Gy14;9146545;9436858;-;Chr1;Chr1;;;
1;ctg6033;17977;1;17977;9496001;9513978;;;Chr1_9930;9496794;9514770;-;ctg6033;1;17977;+;;;;;
1;ctg2813;21040;1;21040;9513979;9535019;;;Chr1_9930;9514871;9535910;-;Chr1_Gy14;9436959;9457998;-;Chr1;;;;
1;ctg3452;135947;1;135947;9535020;9670967;;;Chr1_9930;9536011;9671957;-;Chr1_Gy14;9478294;9614240;-;Chr1;Chr1;;;
1;ctg2112;24600;1;24600;9670968;9695568;;;Chr1_9930;9672058;9696657;+;Chr1_Gy14;9614341;9638940;+;;;;;
1;ctg1451;331205;1;331205;9695569;10026774;;;Chr1_9930;9696758;10027962;-;Chr1_Gy14;9639041;9970245;-;Chr1;Chr1;;;
1;ctg1450;815595;1;815595;10026775;10842370;Chr1;-;Chr1_9930;10028063;10843657;-;Chr1_Gy14;9986441;10802035;-;Chr1;Chr1;;;
1;ctg1780;1086173;1;1086173;10842371;11928544;Chr1;+;Chr1_9930;10843758;11929930;+;Chr1_Gy14;10802136;11888308;+;Chr1;Chr1;Chr1;;
1;ctg7101;17234;1;17234;11928545;11945779;;;Chr1_9930;11930031;11947264;+;Chr1_Gy14;11888409;11905642;+;;;;;
1;ctg3742;84290;1;84290;11945780;12030070;;;Chr1_9930;11947365;12031654;-;ctg3742;1;84290;+;;;;;
1;ctg1478;26707;1;26707;12030071;12056778;;;Chr1_9930;12031755;12058461;+;ctg1478;1;26707;+;;;;;
1;ctg993;172980;1;172980;12056779;12229759;;;Chr1_9930;12058562;12231541;+;Chr1_Gy14;11905743;12078722;+;Chr1;Chr1;;;
1;ctg3359;29410;1;29410;12229760;12259170;;;Chr1_9930;12231642;12261051;+;Chr1_Gy14;12078823;12108232;+;;;;;
1;ctg1759;26698;1;26698;12259171;12285869;;;Chr1_9930;12261152;12287849;-;Chr5_Gy14;14556156;14582853;-;;;;;
1;ctg4989;41040;1;41040;12285870;12326910;;;Chr1_9930;12287950;12328989;+;Chr5_Gy14;14582954;14623993;+;;;;;
1;ctg4423;28817;1;28817;12326911;12355728;;;Chr1_9930;12329090;12357906;+;Chr5_Gy14;14624094;14652910;+;;;;;
